payment_id,invoice_id,payment_date,payment_method,amount_paid
PAY000096,INV00096,2024-02-17,Bank Transfer,6507.14
PAY000097,INV00097,2025-06-04,Credit Card,3823.01
PAY000098,INV00098,2025-07-24,Cash,632.92
PAY000099,INV00100,2026-02-14,Cash,2350.21
PAY000100,INV00101,2025-02-15,Bank Transfer,2619.3
PAY000101,INV00102,2026-02-15,Cash,331.76
PAY000102,INV00102,2026-01-20,Cash,490.37
PAY000103,INV00103,2025-11-14,Cash,572.52
PAY000104,INV00104,2025-07-11,Credit Card,1927.58
PAY000105,INV00105,2024-07-13,Cash,1180.91
PAY000106,INV00106,2025-07-02,Credit Card,1678.85
PAY000107,INV00107,2024-05-02,Credit Card,4651.2
PAY000108,INV00108,2024-03-05,Cash,3292.24
PAY000109,INV00110,2024-03-27,Cash,4344.82
PAY000110,INV00112,2024-01-29,Cash,898.08
PAY000111,INV00113,2025-05-14,Credit Card,2862.82
PAY000112,INV00114,2024-03-06,Credit Card,4114.33
PAY000113,INV00116,2024-05-11,Bank Transfer,1715.03
PAY000114,INV00117,2024-08-03,Bank Transfer,3126.6
PAY000115,INV00118,2024-09-07,Cash,814.02
PAY000116,INV00118,2024-09-03,Cash,837.3
PAY000117,INV00119,2024-04-03,Cash,2229.51
PAY000118,INV00119,2024-04-11,Bank Transfer,3325.9
PAY000119,INV00120,2024-05-18,Cash,2857.88
PAY000120,INV00121,2024-11-07,Bank Transfer,2792.92
PAY000121,INV00122,2024-09-21,Bank Transfer,162.55
PAY000122,INV00122,2024-10-23,Cash,156.94
PAY000123,INV00123,2025-08-04,Credit Card,5061.84
PAY000124,INV00124,2025-09-14,Bank Transfer,4675.4
PAY000125,INV00125,2024-06-21,Credit Card,1180.04
PAY000126,INV00125,2024-05-30,Bank Transfer,843.1
PAY000127,INV00126,2025-05-24,Cash,1504.44
PAY000128,INV00127,2026-01-10,Credit Card,817.0
PAY000129,INV00128,2024-08-23,Bank Transfer,2321.23
PAY000130,INV00130,2024-04-29,Bank Transfer,1739.99
PAY000131,INV00131,2025-09-27,Cash,4767.08
PAY000132,INV00132,2024-01-09,Cash,1963.53
PAY000133,INV00133,2024-12-23,Bank Transfer,5818.94
PAY000134,INV00134,2024-03-03,Bank Transfer,1257.84
PAY000135,INV00135,2024-04-24,Bank Transfer,1799.86
PAY000136,INV00137,2025-07-29,Credit Card,3228.01
PAY000137,INV00138,2026-01-15,Credit Card,988.39
PAY000138,INV00139,2025-11-15,Cash,639.88
PAY000139,INV00140,2025-12-21,Cash,2075.45
PAY000140,INV00141,2025-09-02,Credit Card,1609.8
PAY000141,INV00142,2024-03-10,Bank Transfer,3620.39
PAY000142,INV00142,2024-02-25,Cash,6321.48
PAY000143,INV00143,2025-03-27,Credit Card,4768.07
PAY000144,INV00144,2025-08-23,Credit Card,750.89
PAY000145,INV00145,2025-03-26,Credit Card,691.92
PAY000146,INV00146,2025-10-31,Cash,1801.12
PAY000147,INV00147,2024-04-21,Bank Transfer,3532.26
PAY000148,INV00148,2025-12-08,Credit Card,4049.87
PAY000149,INV00150,2025-09-13,Cash,1840.31
PAY000150,INV00151,2025-04-03,Cash,1195.11
PAY000151,INV00151,2025-02-20,Credit Card,612.94
PAY000152,INV00152,2025-04-18,Bank Transfer,5352.0
PAY000153,INV00153,2025-02-07,Credit Card,2244.25
PAY000154,INV00154,2024-04-17,Credit Card,1451.05
PAY000155,INV00155,2025-06-23,Bank Transfer,1264.63
PAY000156,INV00156,2024-04-20,Bank Transfer,2379.35
PAY000157,INV00156,2024-04-19,Credit Card,5285.9
PAY000158,INV00157,2024-04-18,Cash,4355.5
PAY000159,INV00159,2025-12-21,Credit Card,3155.87
PAY000160,INV00159,2025-12-08,Cash,1871.78
PAY000161,INV00160,2024-06-02,Credit Card,1170.75
PAY000162,INV00161,2025-12-22,Bank Transfer,2531.66
PAY000163,INV00162,2025-04-01,Bank Transfer,4011.92
PAY000164,INV00163,2025-08-24,Credit Card,3070.46
PAY000165,INV00164,2024-02-25,Cash,3812.51
PAY000166,INV00165,2024-11-19,Credit Card,2891.34
PAY000167,INV00166,2025-02-16,Credit Card,2184.86
PAY000168,INV00167,2025-08-18,Bank Transfer,2925.86
PAY000169,INV00168,2024-05-24,Bank Transfer,1862.1
PAY000170,INV00170,2024-09-28,Credit Card,706.45
PAY000171,INV00171,2026-01-09,Cash,3206.11
PAY000172,INV00172,2024-10-06,Bank Transfer,675.18
PAY000173,INV00173,2025-03-13,Bank Transfer,1372.25
PAY000174,INV00174,2025-10-21,Bank Transfer,1856.36
PAY000175,INV00175,2025-07-15,Cash,617.41
PAY000176,INV00175,2025-07-17,Credit Card,448.24
PAY000177,INV00176,2025-09-01,Bank Transfer,7186.0
PAY000178,INV00177,2025-10-16,Bank Transfer,651.22
PAY000179,INV00178,2025-01-20,Cash,816.31
PAY000180,INV00180,2024-03-30,Credit Card,7090.2
PAY000181,INV00181,2024-04-24,Bank Transfer,3364.7
PAY000182,INV00182,2025-02-02,Cash,2532.47
PAY000183,INV00183,2026-01-26,Credit Card,3134.72
PAY000184,INV00184,2025-02-12,Credit Card,4421.34
PAY000185,INV00185,2025-03-21,Cash,4588.79
PAY000186,INV00186,2026-01-01,Credit Card,1374.61
PAY000187,INV00187,2024-11-06,Bank Transfer,5414.63
PAY000188,INV00188,2024-10-01,Credit Card,3176.89
PAY000189,INV00189,2026-01-10,Credit Card,1450.64
PAY000190,INV00189,2025-12-23,Credit Card,2350.78
PAY000191,INV00190,2024-12-19,Credit Card,7440.78
PAY000192,INV00191,2025-02-09,Cash,269.85
PAY000193,INV00191,2025-03-12,Cash,590.14
PAY000194,INV00192,2025-10-03,Credit Card,2197.88
PAY000195,INV00193,2025-04-19,Bank Transfer,2139.49
PAY000196,INV00194,2025-12-29,Cash,438.78
PAY000197,INV00195,2024-05-31,Cash,3562.03
PAY000198,INV00196,2024-07-17,Cash,366.99
PAY000199,INV00196,2024-06-28,Bank Transfer,711.43
PAY000200,INV00197,2024-07-21,Bank Transfer,1384.1
PAY000201,INV00198,2025-12-21,Cash,4484.95
PAY000202,INV00199,2025-05-10,Credit Card,1393.21
PAY000203,INV00200,2025-09-08,Credit Card,2922.44
PAY000204,INV00201,2025-09-11,Cash,2591.78
PAY000205,INV00202,2024-07-14,Credit Card,1139.9
PAY000206,INV00203,2025-01-20,Credit Card,231.42
PAY000207,INV00203,2025-01-09,Cash,196.37
PAY000208,INV00204,2024-11-05,Credit Card,503.7
PAY000209,INV00205,2025-04-21,Cash,2166.35
PAY000210,INV00206,2024-10-03,Credit Card,4792.9
PAY000211,INV00207,2025-04-04,Cash,1105.15
PAY000212,INV00208,2024-10-07,Credit Card,1951.94
PAY000213,INV00208,2024-09-08,Bank Transfer,993.4
PAY000214,INV00209,2025-05-09,Cash,4120.43
PAY000215,INV00211,2024-06-08,Bank Transfer,1233.49
PAY000216,INV00212,2024-12-04,Credit Card,3389.34
PAY000217,INV00213,2025-06-19,Bank Transfer,4279.04
PAY000218,INV00214,2025-08-08,Bank Transfer,698.53
PAY000219,INV00214,2025-09-24,Credit Card,785.44
PAY000220,INV00215,2024-03-12,Bank Transfer,1518.55
PAY000221,INV00216,2024-12-06,Cash,6459.67
PAY000222,INV00217,2024-05-27,Bank Transfer,2656.69
PAY000223,INV00217,2024-04-03,Cash,1217.47
PAY000224,INV00218,2024-03-28,Credit Card,1326.58
PAY000225,INV00218,2024-02-19,Bank Transfer,995.85
PAY000226,INV00219,2025-11-21,Cash,7388.9
PAY000227,INV00220,2024-04-26,Credit Card,1199.9
PAY000228,INV00221,2025-05-31,Bank Transfer,1803.2
PAY000229,INV00221,2025-06-09,Bank Transfer,2060.67
PAY000230,INV00222,2026-01-29,Cash,877.56
PAY000231,INV00223,2024-04-19,Cash,3028.69
PAY000232,INV00224,2024-06-27,Credit Card,3469.33
PAY000233,INV00225,2024-12-19,Bank Transfer,580.0
PAY000234,INV00226,2024-07-29,Cash,137.39
PAY000235,INV00227,2025-04-08,Credit Card,2060.95
PAY000236,INV00228,2024-08-18,Credit Card,2162.33
PAY000237,INV00229,2024-06-20,Cash,1749.38
PAY000238,INV00230,2024-06-20,Bank Transfer,1601.02
PAY000239,INV00231,2024-03-09,Cash,7076.39
PAY000240,INV00232,2025-12-19,Credit Card,2177.73
PAY000241,INV00232,2025-12-02,Cash,1529.2
PAY000242,INV00233,2024-03-12,Bank Transfer,2624.75
PAY000243,INV00234,2024-07-02,Bank Transfer,3408.25
PAY000244,INV00235,2025-10-23,Bank Transfer,1375.77
PAY000245,INV00235,2025-09-15,Bank Transfer,1979.87
PAY000246,INV00236,2024-06-16,Credit Card,1607.45
PAY000247,INV00237,2024-06-18,Bank Transfer,3480.9
PAY000248,INV00238,2024-07-06,Bank Transfer,654.97
PAY000249,INV00239,2024-10-02,Credit Card,651.16
PAY000250,INV00239,2024-10-24,Credit Card,1131.52
PAY000251,INV00240,2025-06-06,Bank Transfer,2839.23
PAY000252,INV00240,2025-05-12,Cash,3129.2
PAY000253,INV00241,2024-05-25,Bank Transfer,452.16
PAY000254,INV00241,2024-04-15,Cash,918.38
PAY000255,INV00242,2025-10-15,Credit Card,2330.51
PAY000256,INV00243,2025-02-24,Bank Transfer,7431.54
PAY000257,INV00244,2024-09-20,Cash,2986.02
PAY000258,INV00245,2025-12-22,Bank Transfer,3998.62
PAY000259,INV00246,2024-03-15,Bank Transfer,3521.1
PAY000260,INV00246,2024-05-11,Bank Transfer,2223.76
PAY000261,INV00247,2025-11-13,Bank Transfer,1550.99
PAY000262,INV00248,2024-04-01,Cash,3336.54
PAY000263,INV00249,2025-08-31,Cash,1143.35
PAY000264,INV00250,2025-03-11,Credit Card,835.27
PAY000265,INV00250,2025-02-11,Credit Card,700.13
PAY000266,INV00251,2025-08-20,Credit Card,4315.38
PAY000267,INV00252,2024-12-25,Bank Transfer,8249.98
PAY000268,INV00253,2025-02-24,Cash,5133.06
PAY000269,INV00254,2025-01-17,Bank Transfer,342.64
PAY000270,INV00255,2025-09-12,Credit Card,4240.2
PAY000271,INV00256,2026-01-30,Credit Card,2305.93
PAY000272,INV00256,2026-01-13,Credit Card,1893.73
PAY000273,INV00258,2025-08-16,Credit Card,5285.63
PAY000274,INV00259,2024-08-10,Cash,376.12
PAY000275,INV00260,2025-10-24,Cash,4657.43
PAY000276,INV00260,2025-12-11,Bank Transfer,2532.37
PAY000277,INV00261,2026-01-02,Bank Transfer,5485.2
PAY000278,INV00262,2024-10-09,Bank Transfer,2144.77
PAY000279,INV00263,2026-01-21,Cash,612.28
PAY000280,INV00264,2025-12-04,Bank Transfer,3079.01
PAY000281,INV00265,2024-06-21,Credit Card,2588.68
PAY000282,INV00266,2024-12-05,Cash,576.22
PAY000283,INV00267,2025-11-15,Bank Transfer,364.46
PAY000284,INV00268,2024-05-11,Bank Transfer,2937.76
PAY000285,INV00269,2024-07-27,Bank Transfer,162.8
PAY000286,INV00270,2025-03-12,Cash,1198.91
PAY000287,INV00271,2025-02-04,Bank Transfer,2918.48
PAY000288,INV00272,2024-08-10,Credit Card,3860.01
PAY000289,INV00273,2025-09-12,Cash,1233.48
PAY000290,INV00273,2025-08-15,Cash,1853.56
PAY000291,INV00274,2024-06-29,Bank Transfer,7286.36
PAY000292,INV00275,2025-10-23,Bank Transfer,159.41
PAY000293,INV00275,2025-11-09,Bank Transfer,216.71
PAY000294,INV00276,2025-07-22,Bank Transfer,503.44
PAY000295,INV00276,2025-09-05,Credit Card,871.95
PAY000296,INV00277,2024-09-12,Credit Card,2583.6
PAY000297,INV00278,2024-11-24,Bank Transfer,4890.31
PAY000298,INV00279,2025-11-13,Bank Transfer,845.29
PAY000299,INV00280,2024-02-10,Credit Card,706.45
PAY000300,INV00281,2025-08-21,Bank Transfer,224.52
PAY000301,INV00283,2025-05-13,Cash,3613.26
PAY000302,INV00284,2024-05-15,Credit Card,3737.59
PAY000303,INV00285,2025-05-20,Credit Card,3919.67
PAY000304,INV00286,2024-03-09,Cash,5067.26
PAY000305,INV00287,2024-09-25,Credit Card,951.64
PAY000306,INV00288,2025-11-16,Cash,1943.34
PAY000307,INV00289,2024-06-14,Cash,3662.23
PAY000308,INV00290,2025-04-23,Bank Transfer,5023.43
PAY000309,INV00291,2024-11-15,Cash,2887.75
PAY000310,INV00292,2025-06-23,Credit Card,4199.71
PAY000311,INV00293,2024-06-23,Credit Card,49.19
PAY000312,INV00294,2024-04-14,Cash,1880.54
PAY000313,INV00295,2024-03-15,Bank Transfer,673.56
PAY000314,INV00296,2025-12-15,Cash,271.21
PAY000315,INV00296,2025-11-13,Cash,435.24
PAY000316,INV00299,2026-02-22,Bank Transfer,1332.46
PAY000317,INV00300,2024-09-11,Credit Card,1798.81
PAY000318,INV00301,2025-12-01,Credit Card,7778.93
PAY000319,INV00303,2026-01-02,Bank Transfer,3186.29
PAY000320,INV00304,2024-07-25,Credit Card,2432.44
PAY000321,INV00305,2024-06-06,Bank Transfer,964.8
PAY000322,INV00306,2025-12-18,Credit Card,484.82
PAY000323,INV00307,2025-12-07,Credit Card,1843.62
PAY000324,INV00308,2025-09-04,Cash,420.01
PAY000325,INV00309,2024-12-15,Cash,4961.96
PAY000326,INV00310,2024-06-03,Cash,3712.66
PAY000327,INV00310,2024-05-19,Credit Card,2672.37
PAY000328,INV00311,2025-04-19,Credit Card,1215.99
PAY000329,INV00311,2025-03-28,Credit Card,2049.26
PAY000330,INV00312,2026-01-24,Bank Transfer,518.94
PAY000331,INV00313,2024-05-22,Credit Card,57.86
PAY000332,INV00314,2024-09-24,Bank Transfer,3453.43
PAY000333,INV00315,2024-09-19,Credit Card,404.59
PAY000334,INV00316,2024-10-03,Bank Transfer,5752.28
PAY000335,INV00317,2024-08-08,Cash,1534.15
PAY000336,INV00317,2024-08-20,Bank Transfer,1844.29
PAY000337,INV00318,2025-09-18,Bank Transfer,5589.54
PAY000338,INV00319,2025-02-14,Credit Card,298.6
PAY000339,INV00320,2025-09-01,Bank Transfer,794.0
PAY000340,INV00321,2025-06-16,Credit Card,3331.14
PAY000341,INV00322,2024-02-13,Credit Card,3331.14
PAY000342,INV00323,2025-03-11,Cash,5114.1
PAY000343,INV00324,2024-09-20,Credit Card,5369.63
PAY000344,INV00325,2025-02-14,Bank Transfer,3306.1
PAY000345,INV00326,2025-05-18,Bank Transfer,321.96
PAY000346,INV00327,2025-03-30,Bank Transfer,2654.12
PAY000347,INV00328,2024-10-15,Cash,399.54
PAY000348,INV00329,2024-10-14,Bank Transfer,6180.07
PAY000349,INV00330,2025-02-06,Credit Card,2389.45
PAY000350,INV00331,2025-06-17,Bank Transfer,3114.91
PAY000351,INV00332,2024-01-29,Cash,9595.78
PAY000352,INV00333,2025-02-20,Cash,2236.8
PAY000353,INV00334,2025-11-24,Cash,895.79
PAY000354,INV00335,2024-02-10,Cash,404.41
PAY000355,INV00335,2024-03-01,Credit Card,641.79
PAY000356,INV00336,2024-08-12,Bank Transfer,71.92
PAY000357,INV00337,2025-01-07,Cash,3954.89
PAY000358,INV00338,2024-03-16,Credit Card,1677.4
PAY000359,INV00338,2024-03-09,Cash,1978.8
PAY000360,INV00339,2025-03-31,Credit Card,226.55
PAY000361,INV00339,2025-02-07,Cash,466.17
PAY000362,INV00340,2024-08-08,Bank Transfer,308.38
PAY000363,INV00343,2025-06-12,Credit Card,4906.72
PAY000364,INV00344,2024-12-04,Bank Transfer,488.41
PAY000365,INV00345,2024-06-28,Credit Card,297.9
PAY000366,INV00345,2024-06-17,Bank Transfer,661.56
PAY000367,INV00346,2024-06-16,Credit Card,4242.25
PAY000368,INV00347,2024-06-15,Bank Transfer,991.16
PAY000369,INV00348,2025-07-04,Credit Card,4316.28
PAY000370,INV00349,2024-04-05,Bank Transfer,1421.42
PAY000371,INV00350,2025-06-02,Bank Transfer,2713.87
PAY000372,INV00351,2024-07-19,Bank Transfer,3545.33
PAY000373,INV00353,2025-09-19,Cash,3218.03
PAY000374,INV00355,2025-06-22,Credit Card,3008.82
PAY000375,INV00356,2024-11-13,Bank Transfer,1513.51
PAY000376,INV00356,2024-11-12,Bank Transfer,2159.35
PAY000377,INV00357,2024-04-18,Bank Transfer,2323.66
PAY000378,INV00357,2024-05-02,Credit Card,1496.74
PAY000379,INV00358,2025-08-09,Cash,2827.51
PAY000380,INV00359,2025-05-03,Cash,7385.86
PAY000381,INV00360,2024-12-13,Cash,4231.28
PAY000382,INV00361,2025-02-11,Bank Transfer,160.9
PAY000383,INV00362,2024-11-02,Credit Card,4505.52
PAY000384,INV00363,2025-05-30,Cash,732.61
PAY000385,INV00364,2026-02-17,Cash,1152.37
PAY000386,INV00365,2025-08-29,Bank Transfer,1681.74
PAY000387,INV00366,2025-04-24,Credit Card,583.68
PAY000388,INV00367,2025-07-18,Bank Transfer,2393.57
PAY000389,INV00368,2024-05-15,Cash,4094.86
PAY000390,INV00369,2025-10-23,Bank Transfer,3889.49
PAY000391,INV00370,2025-03-20,Bank Transfer,1366.49
PAY000392,INV00371,2025-10-24,Credit Card,1022.86
PAY000393,INV00372,2025-09-27,Credit Card,948.9
PAY000394,INV00373,2024-03-10,Bank Transfer,5221.64
PAY000395,INV00374,2025-08-06,Credit Card,5614.28
PAY000396,INV00375,2025-08-17,Credit Card,2848.28
PAY000397,INV00376,2024-02-02,Credit Card,521.21
PAY000398,INV00377,2025-08-01,Cash,2362.65
PAY000399,INV00377,2025-08-03,Credit Card,2773.77
PAY000400,INV00378,2024-06-30,Credit Card,3183.38
PAY000401,INV00379,2024-12-04,Cash,78.12
PAY000402,INV00380,2024-03-23,Credit Card,1342.26
PAY000403,INV00381,2024-12-01,Bank Transfer,4370.33
PAY000404,INV00382,2024-05-11,Bank Transfer,3287.42
PAY000405,INV00383,2025-04-24,Bank Transfer,215.75
PAY000406,INV00384,2025-03-30,Credit Card,1805.48
PAY000407,INV00385,2026-01-26,Cash,5736.19
PAY000408,INV00386,2024-07-12,Cash,2268.52
PAY000409,INV00387,2024-08-10,Bank Transfer,2628.71
PAY000410,INV00388,2024-12-16,Credit Card,4607.6
PAY000411,INV00389,2025-01-29,Credit Card,3048.89
PAY000412,INV00390,2024-10-23,Cash,2886.59
PAY000413,INV00391,2025-03-22,Bank Transfer,1489.01
PAY000414,INV00392,2025-09-11,Cash,5819.06
PAY000415,INV00393,2024-05-01,Credit Card,2999.82
PAY000416,INV00394,2025-08-07,Cash,2432.52
PAY000417,INV00395,2025-01-16,Credit Card,4019.16
PAY000418,INV00396,2024-10-13,Credit Card,2011.36
PAY000419,INV00397,2025-06-20,Cash,5852.15
PAY000420,INV00398,2026-01-23,Credit Card,2144.53
PAY000421,INV00399,2025-11-07,Bank Transfer,1506.83
PAY000422,INV00400,2024-07-28,Credit Card,4213.39
PAY000423,INV00401,2025-12-05,Cash,3559.14
PAY000424,INV00402,2025-06-19,Credit Card,2695.85
PAY000425,INV00403,2026-02-11,Cash,4926.05
PAY000426,INV00404,2025-11-30,Bank Transfer,2042.48
PAY000427,INV00405,2024-04-26,Credit Card,1053.86
PAY000428,INV00406,2025-04-07,Cash,2279.82
PAY000429,INV00407,2025-11-08,Bank Transfer,2994.09
PAY000430,INV00408,2024-08-23,Credit Card,1492.94
PAY000431,INV00409,2025-10-20,Credit Card,2251.76
PAY000432,INV00410,2025-02-23,Bank Transfer,1122.13
PAY000433,INV00411,2024-08-11,Credit Card,359.59
PAY000434,INV00412,2025-01-31,Credit Card,7263.61
PAY000435,INV00413,2024-09-26,Cash,1359.23
PAY000436,INV00413,2024-10-20,Cash,2255.37
PAY000437,INV00414,2024-07-02,Cash,264.58
PAY000438,INV00414,2024-07-28,Cash,410.6
PAY000439,INV00415,2024-05-30,Bank Transfer,5186.7
PAY000440,INV00416,2025-12-01,Bank Transfer,3475.66
PAY000441,INV00417,2025-01-30,Bank Transfer,743.18
PAY000442,INV00418,2025-11-24,Cash,3913.85
PAY000443,INV00419,2026-01-04,Bank Transfer,3174.13
PAY000444,INV00420,2025-11-23,Cash,2510.76
PAY000445,INV00421,2025-08-30,Bank Transfer,518.94
PAY000446,INV00422,2025-06-18,Bank Transfer,1918.53
PAY000447,INV00422,2025-06-10,Cash,859.4
PAY000448,INV00423,2024-05-28,Cash,2129.28
PAY000449,INV00424,2024-02-27,Bank Transfer,1393.34
PAY000450,INV00425,2024-04-04,Bank Transfer,1785.1
PAY000451,INV00425,2024-04-26,Credit Card,856.33
PAY000452,INV00426,2024-09-20,Cash,482.26
PAY000453,INV00427,2024-02-12,Cash,4689.4
PAY000454,INV00428,2025-07-27,Bank Transfer,3441.16
PAY000455,INV00429,2024-09-26,Credit Card,2945.34
PAY000456,INV00430,2025-06-08,Cash,342.64
PAY000457,INV00431,2024-12-09,Credit Card,1164.96
PAY000458,INV00432,2024-09-08,Cash,1676.17
PAY000459,INV00433,2024-11-20,Cash,1355.74
PAY000460,INV00434,2024-09-02,Bank Transfer,768.32
PAY000461,INV00435,2024-04-13,Credit Card,712.98
PAY000462,INV00436,2025-03-07,Bank Transfer,911.16
PAY000463,INV00437,2025-10-02,Cash,8006.65
PAY000464,INV00438,2024-08-28,Credit Card,111.5
PAY000465,INV00438,2024-08-25,Cash,60.02
PAY000466,INV00439,2025-11-06,Bank Transfer,7106.34
PAY000467,INV00440,2025-04-29,Bank Transfer,3183.52
PAY000468,INV00441,2026-01-03,Bank Transfer,2886.59
PAY000469,INV00442,2024-02-18,Bank Transfer,3577.38
PAY000470,INV00443,2025-12-07,Cash,3331.08
PAY000471,INV00444,2024-08-15,Cash,408.49
PAY000472,INV00445,2025-06-21,Bank Transfer,598.31
PAY000473,INV00445,2025-05-23,Bank Transfer,524.29
PAY000474,INV00446,2025-08-11,Bank Transfer,6354.51
PAY000475,INV00447,2024-11-23,Cash,1634.49
PAY000476,INV00447,2024-11-02,Cash,1834.74
PAY000477,INV00448,2025-03-12,Credit Card,1492.97
PAY000478,INV00449,2025-05-16,Cash,2836.26
PAY000479,INV00450,2024-07-19,Cash,1998.68
PAY000480,INV00451,2026-01-07,Cash,1633.98
PAY000481,INV00452,2025-02-02,Credit Card,3682.96
PAY000482,INV00453,2025-09-08,Credit Card,3265.25
PAY000483,INV00455,2025-05-17,Cash,4622.04
PAY000484,INV00456,2024-03-24,Credit Card,6674.38
