sale_id,invoice_id,product_id,sale_date,quantity,unit_price,discount_rate,revenue
S000059,INV00023,P006,2024-01-05,1,187.1,0.0,187.1
S000060,INV00023,P021,2024-01-05,4,285.53,0.0,1142.12
S000061,INV00023,P018,2024-01-05,3,588.71,0.1,1589.52
S000062,INV00023,P017,2024-01-05,1,680.26,0.05,646.25
S000063,INV00024,P011,2025-12-04,3,292.74,0.0,878.22
S000064,INV00024,P021,2025-12-04,3,285.53,0.1,770.93
S000065,INV00024,P003,2025-12-04,5,508.77,0.1,2289.47
S000066,INV00024,P008,2025-12-04,4,24.11,0.15,81.97
S000067,INV00025,P018,2024-03-27,1,588.71,0.0,588.71
S000068,INV00026,P014,2025-02-27,4,365.65,0.0,1462.6
S000069,INV00027,P003,2024-12-03,1,508.77,0.0,508.77
S000070,INV00027,P013,2024-12-03,3,499.96,0.15,1274.9
S000071,INV00027,P009,2024-12-03,1,555.19,0.05,527.43
S000072,INV00027,P004,2024-12-03,2,296.13,0.15,503.42
S000073,INV00028,P021,2025-03-01,3,285.53,0.0,856.59
S000074,INV00028,P019,2025-03-01,3,298.11,0.0,894.33
S000075,INV00028,P018,2025-03-01,1,588.71,0.0,588.71
S000076,INV00029,P015,2025-01-25,3,151.86,0.15,387.24
S000077,INV00029,P001,2025-01-25,2,564.89,0.0,1129.78
S000078,INV00029,P005,2025-01-25,2,66.59,0.15,113.2
S000079,INV00030,P002,2025-06-11,2,348.25,0.1,626.85
S000080,INV00030,P021,2025-06-11,3,285.53,0.15,728.1
S000081,INV00030,P019,2025-06-11,1,298.11,0.0,298.11
S000082,INV00031,P002,2024-07-28,4,348.25,0.15,1184.05
S000083,INV00032,P019,2024-09-21,3,298.11,0.15,760.18
S000084,INV00032,P012,2024-09-21,5,490.89,0.0,2454.45
S000085,INV00032,P017,2024-09-21,5,680.26,0.05,3231.24
S000086,INV00032,P003,2024-09-21,4,508.77,0.1,1831.57
S000087,INV00033,P002,2024-09-21,4,348.25,0.0,1393.0
S000088,INV00034,P007,2024-03-04,1,118.83,0.15,101.01
S000089,INV00035,P011,2024-05-30,5,292.74,0.15,1244.14
S000090,INV00035,P014,2024-05-30,1,365.65,0.0,365.65
S000091,INV00036,P007,2024-04-18,4,118.83,0.1,427.79
S000092,INV00036,P006,2024-04-18,2,187.1,0.05,355.49
S000093,INV00036,P019,2024-04-18,5,298.11,0.15,1266.97
S000094,INV00037,P009,2024-03-07,5,555.19,0.0,2775.95
S000095,INV00037,P014,2024-03-07,2,365.65,0.1,658.17
S000096,INV00038,P017,2024-05-07,4,680.26,0.15,2312.88
S000097,INV00038,P009,2024-05-07,1,555.19,0.1,499.67
S000098,INV00038,P004,2024-05-07,5,296.13,0.1,1332.59
S000099,INV00039,P020,2025-01-14,5,501.47,0.05,2381.98
S000100,INV00039,P008,2025-01-14,5,24.11,0.0,120.55
S000101,INV00039,P003,2025-01-14,4,508.77,0.05,1933.33
S000102,INV00039,P006,2025-01-14,2,187.1,0.0,374.2
S000103,INV00040,P006,2024-12-27,4,187.1,0.1,673.56
S000104,INV00040,P010,2024-12-27,4,358.33,0.15,1218.32
S000105,INV00040,P015,2024-12-27,3,151.86,0.05,432.8
S000106,INV00040,P002,2024-12-27,4,348.25,0.0,1393.0
S000107,INV00041,P018,2025-04-29,2,588.71,0.05,1118.55
S000108,INV00041,P008,2025-04-29,1,24.11,0.1,21.7
S000109,INV00041,P013,2025-04-29,3,499.96,0.05,1424.89
S000110,INV00041,P014,2025-04-29,3,365.65,0.0,1096.95
S000111,INV00042,P016,2024-03-23,1,135.67,0.0,135.67
S000112,INV00042,P018,2024-03-23,5,588.71,0.15,2502.02
S000113,INV00042,P005,2024-03-23,1,66.59,0.0,66.59
S000114,INV00043,P015,2025-10-07,5,151.86,0.0,759.3
S000115,INV00044,P008,2024-06-30,3,24.11,0.15,61.48
S000116,INV00044,P003,2024-06-30,4,508.77,0.0,2035.08
S000117,INV00045,P010,2025-06-30,3,358.33,0.15,913.74
S000118,INV00046,P015,2024-09-07,4,151.86,0.0,607.44
S000119,INV00046,P006,2024-09-07,2,187.1,0.0,374.2
S000120,INV00047,P016,2024-08-09,4,135.67,0.1,488.41
S000121,INV00047,P005,2024-08-09,1,66.59,0.15,56.6
S000122,INV00047,P011,2024-08-09,4,292.74,0.15,995.32
S000123,INV00047,P002,2024-08-09,3,348.25,0.1,940.27
S000124,INV00048,P013,2025-06-03,3,499.96,0.05,1424.89
S000125,INV00049,P005,2025-02-07,4,66.59,0.15,226.41
S000126,INV00049,P014,2025-02-07,4,365.65,0.15,1243.21
S000127,INV00049,P002,2025-02-07,1,348.25,0.15,296.01
S000128,INV00049,P021,2025-02-07,1,285.53,0.0,285.53
S000129,INV00050,P020,2024-11-11,2,501.47,0.0,1002.94
S000130,INV00050,P012,2024-11-11,1,490.89,0.0,490.89
S000131,INV00051,P005,2025-05-13,5,66.59,0.15,283.01
S000132,INV00051,P004,2025-05-13,4,296.13,0.0,1184.52
S000133,INV00051,P018,2025-05-13,2,588.71,0.1,1059.68
S000134,INV00052,P001,2025-02-14,3,564.89,0.1,1525.2
S000135,INV00052,P010,2025-02-14,2,358.33,0.1,644.99
S000136,INV00053,P001,2025-09-02,5,564.89,0.0,2824.45
S000137,INV00053,P021,2025-09-02,2,285.53,0.0,571.06
S000138,INV00053,P012,2025-09-02,5,490.89,0.05,2331.73
S000139,INV00054,P004,2024-04-24,1,296.13,0.05,281.32
S000140,INV00054,P005,2024-04-24,3,66.59,0.05,189.78
S000141,INV00055,P005,2025-12-19,5,66.59,0.1,299.66
S000142,INV00055,P020,2025-12-19,1,501.47,0.1,451.32
S000143,INV00055,P008,2025-12-19,5,24.11,0.0,120.55
S000144,INV00056,P017,2024-06-22,5,680.26,0.05,3231.24
S000145,INV00056,P004,2024-06-22,5,296.13,0.1,1332.59
S000146,INV00057,P008,2024-04-08,4,24.11,0.0,96.44
S000147,INV00057,P005,2024-04-08,2,66.59,0.0,133.18
S000148,INV00057,P019,2024-04-08,1,298.11,0.0,298.11
S000149,INV00058,P021,2025-03-25,5,285.53,0.05,1356.27
S000150,INV00058,P017,2025-03-25,2,680.26,0.0,1360.52
S000151,INV00058,P005,2025-03-25,4,66.59,0.05,253.04
S000152,INV00058,P002,2025-03-25,4,348.25,0.1,1253.7
S000153,INV00059,P004,2025-10-02,3,296.13,0.0,888.39
S000154,INV00059,P014,2025-10-02,5,365.65,0.0,1828.25
S000155,INV00059,P001,2025-10-02,2,564.89,0.05,1073.29
S000156,INV00059,P017,2025-10-02,4,680.26,0.05,2584.99
S000157,INV00060,P017,2025-08-06,4,680.26,0.0,2721.04
S000158,INV00061,P016,2025-08-04,5,135.67,0.15,576.6
S000159,INV00062,P010,2024-09-16,1,358.33,0.05,340.41
S000160,INV00062,P013,2024-09-16,3,499.96,0.1,1349.89
S000161,INV00062,P002,2024-09-16,5,348.25,0.0,1741.25
S000162,INV00063,P016,2025-12-17,2,135.67,0.1,244.21
S000163,INV00063,P021,2025-12-17,5,285.53,0.15,1213.5
S000164,INV00063,P006,2025-12-17,5,187.1,0.0,935.5
S000165,INV00063,P005,2025-12-17,3,66.59,0.0,199.77
S000166,INV00064,P017,2024-11-26,1,680.26,0.15,578.22
S000167,INV00064,P019,2024-11-26,2,298.11,0.05,566.41
S000168,INV00065,P016,2024-07-07,4,135.67,0.15,461.28
S000169,INV00066,P009,2025-08-04,1,555.19,0.0,555.19
S000170,INV00067,P010,2025-06-27,1,358.33,0.05,340.41
S000171,INV00068,P013,2024-02-12,1,499.96,0.0,499.96
S000172,INV00068,P020,2024-02-12,5,501.47,0.0,2507.35
S000173,INV00069,P003,2024-06-03,2,508.77,0.0,1017.54
S000174,INV00070,P012,2024-01-23,5,490.89,0.1,2209.01
S000175,INV00071,P011,2025-10-06,3,292.74,0.05,834.31
S000176,INV00071,P020,2025-10-06,4,501.47,0.0,2005.88
S000177,INV00072,P016,2024-11-04,2,135.67,0.1,244.21
S000178,INV00073,P016,2025-09-18,4,135.67,0.15,461.28
S000179,INV00073,P007,2025-09-18,1,118.83,0.0,118.83
S000180,INV00073,P004,2025-09-18,5,296.13,0.05,1406.62
S000181,INV00073,P014,2025-09-18,2,365.65,0.0,731.3
S000182,INV00074,P007,2025-11-06,4,118.83,0.1,427.79
S000183,INV00075,P021,2024-11-22,2,285.53,0.05,542.51
S000184,INV00075,P002,2024-11-22,5,348.25,0.1,1567.12
S000185,INV00076,P021,2025-12-03,4,285.53,0.1,1027.91
S000186,INV00076,P011,2025-12-03,5,292.74,0.15,1244.14
S000187,INV00077,P015,2025-06-23,3,151.86,0.15,387.24
S000188,INV00077,P011,2025-06-23,2,292.74,0.05,556.21
S000189,INV00078,P014,2025-03-05,3,365.65,0.0,1096.95
S000190,INV00079,P020,2025-02-20,5,501.47,0.0,2507.35
S000191,INV00080,P020,2024-07-30,4,501.47,0.05,1905.59
S000192,INV00080,P003,2024-07-30,5,508.77,0.0,2543.85
S000193,INV00080,P005,2024-07-30,5,66.59,0.15,283.01
S000194,INV00080,P021,2024-07-30,2,285.53,0.1,513.95
S000195,INV00081,P021,2025-03-01,1,285.53,0.05,271.25
S000196,INV00082,P010,2024-06-13,5,358.33,0.05,1702.07
S000197,INV00082,P019,2024-06-13,5,298.11,0.15,1266.97
S000198,INV00083,P012,2024-08-22,1,490.89,0.05,466.35
S000199,INV00084,P003,2024-11-05,1,508.77,0.05,483.33
S000200,INV00084,P011,2024-11-05,5,292.74,0.15,1244.14
S000201,INV00085,P003,2025-02-08,4,508.77,0.0,2035.08
S000202,INV00085,P006,2025-02-08,1,187.1,0.0,187.1
S000203,INV00085,P021,2025-02-08,5,285.53,0.05,1356.27
S000204,INV00085,P004,2025-02-08,5,296.13,0.0,1480.65
S000205,INV00086,P010,2024-10-06,5,358.33,0.1,1612.48
S000206,INV00087,P003,2025-10-22,1,508.77,0.1,457.89
S000207,INV00087,P018,2025-10-22,1,588.71,0.05,559.27
S000208,INV00087,P005,2025-10-22,5,66.59,0.15,283.01
S000209,INV00088,P016,2025-06-25,1,135.67,0.0,135.67
S000210,INV00089,P013,2024-11-17,4,499.96,0.1,1799.86
S000211,INV00090,P004,2025-03-29,2,296.13,0.05,562.65
S000212,INV00090,P005,2025-03-29,3,66.59,0.0,199.77
S000213,INV00090,P014,2025-03-29,3,365.65,0.0,1096.95
S000214,INV00091,P019,2025-11-10,3,298.11,0.0,894.33
S000215,INV00091,P011,2025-11-10,5,292.74,0.1,1317.33
S000216,INV00092,P011,2024-06-19,4,292.74,0.15,995.32
S000217,INV00092,P002,2024-06-19,4,348.25,0.05,1323.35
S000218,INV00092,P016,2024-06-19,3,135.67,0.1,366.31
S000219,INV00092,P004,2024-06-19,3,296.13,0.05,843.97
S000220,INV00093,P011,2025-06-17,5,292.74,0.15,1244.14
S000221,INV00093,P009,2025-06-17,1,555.19,0.1,499.67
S000222,INV00093,P015,2025-06-17,1,151.86,0.0,151.86
S000223,INV00094,P002,2025-01-15,2,348.25,0.0,696.5
S000224,INV00094,P005,2025-01-15,5,66.59,0.1,299.66
S000225,INV00094,P020,2025-01-15,2,501.47,0.05,952.79
S000226,INV00095,P002,2025-12-22,5,348.25,0.0,1741.25
S000227,INV00095,P015,2025-12-22,2,151.86,0.0,303.72
S000228,INV00096,P018,2024-01-19,5,588.71,0.0,2943.55
S000229,INV00096,P007,2024-01-19,4,118.83,0.0,475.32
S000230,INV00096,P010,2024-01-19,1,358.33,0.0,358.33
S000231,INV00096,P014,2024-01-19,5,365.65,0.1,1645.42
S000232,INV00097,P010,2025-05-17,4,358.33,0.05,1361.65
S000233,INV00097,P003,2025-05-17,3,508.77,0.05,1449.99
S000234,INV00097,P006,2025-05-17,2,187.1,0.0,374.2
S000235,INV00098,P009,2025-07-09,1,555.19,0.05,527.43
S000236,INV00099,P021,2025-08-15,4,285.53,0.0,1142.12
S000237,INV00099,P012,2025-08-15,5,490.89,0.05,2331.73
S000238,INV00099,P004,2025-08-15,4,296.13,0.0,1184.52
S000239,INV00099,P010,2025-08-15,1,358.33,0.1,322.5
S000240,INV00100,P019,2025-12-17,4,298.11,0.05,1132.82
S000241,INV00100,P016,2025-12-17,4,135.67,0.0,542.68
S000242,INV00100,P005,2025-12-17,5,66.59,0.15,283.01
S000243,INV00101,P002,2025-02-03,1,348.25,0.15,296.01
S000244,INV00101,P020,2025-02-03,3,501.47,0.0,1504.41
S000245,INV00101,P004,2025-02-03,1,296.13,0.05,281.32
S000246,INV00101,P007,2025-02-03,1,118.83,0.15,101.01
S000247,INV00102,P011,2025-12-21,1,292.74,0.05,278.1
S000248,INV00102,P016,2025-12-21,3,135.67,0.0,407.01
S000249,INV00103,P006,2025-09-20,3,187.1,0.15,477.1
S000250,INV00104,P001,2025-05-31,2,564.89,0.05,1073.29
S000251,INV00104,P004,2025-05-31,2,296.13,0.1,533.03
S000252,INV00105,P007,2024-07-11,3,118.83,0.05,338.67
S000253,INV00105,P021,2024-07-11,4,285.53,0.0,1142.12
S000254,INV00106,P012,2025-06-25,3,490.89,0.05,1399.04
S000255,INV00107,P017,2024-04-05,4,680.26,0.15,2312.88
S000256,INV00107,P004,2024-04-05,3,296.13,0.0,888.39
S000257,INV00107,P005,2024-04-05,3,66.59,0.0,199.77
S000258,INV00107,P013,2024-04-05,1,499.96,0.05,474.96
S000259,INV00108,P020,2024-02-23,2,501.47,0.0,1002.94
S000260,INV00108,P006,2024-02-23,2,187.1,0.15,318.07
S000261,INV00108,P011,2024-02-23,1,292.74,0.0,292.74
S000262,INV00108,P001,2024-02-23,2,564.89,0.0,1129.78
S000263,INV00109,P013,2024-09-04,2,499.96,0.0,999.92
S000264,INV00109,P002,2024-09-04,2,348.25,0.1,626.85
S000265,INV00110,P011,2024-02-02,4,292.74,0.0,1170.96
S000266,INV00110,P020,2024-02-02,4,501.47,0.1,1805.29
S000267,INV00110,P016,2024-02-02,5,135.67,0.05,644.43
S000268,INV00111,P020,2025-08-12,3,501.47,0.0,1504.41
S000269,INV00112,P006,2024-01-27,4,187.1,0.0,748.4
S000270,INV00113,P016,2025-03-16,5,135.67,0.05,644.43
S000271,INV00113,P002,2025-03-16,5,348.25,0.0,1741.25
S000272,INV00114,P004,2024-02-05,2,296.13,0.1,533.03
S000273,INV00114,P018,2024-02-05,3,588.71,0.0,1766.13
S000274,INV00114,P006,2024-02-05,3,187.1,0.05,533.23
S000275,INV00114,P019,2024-02-05,2,298.11,0.0,596.22
S000276,INV00115,P021,2025-02-17,4,285.53,0.15,970.8
S000277,INV00115,P017,2025-02-17,1,680.26,0.1,612.23
S000278,INV00116,P020,2024-05-01,3,501.47,0.05,1429.19
S000279,INV00117,P007,2024-07-11,2,118.83,0.05,225.78
S000280,INV00117,P009,2024-07-11,1,555.19,0.15,471.91
S000281,INV00117,P003,2024-07-11,1,508.77,0.0,508.77
S000282,INV00117,P012,2024-07-11,3,490.89,0.05,1399.04
S000283,INV00118,P006,2024-07-09,4,187.1,0.05,710.98
S000284,INV00118,P007,2024-07-09,3,118.83,0.05,338.67
S000285,INV00118,P004,2024-07-09,1,296.13,0.1,266.52
S000286,INV00118,P005,2024-07-09,1,66.59,0.1,59.93
S000287,INV00119,P020,2024-03-05,2,501.47,0.0,1002.94
S000288,INV00119,P018,2024-03-05,4,588.71,0.05,2237.1
S000289,INV00119,P014,2024-03-05,4,365.65,0.05,1389.47
S000290,INV00120,P013,2024-03-26,1,499.96,0.1,449.96
S000291,INV00120,P002,2024-03-26,5,348.25,0.15,1480.06
S000292,INV00120,P007,2024-03-26,4,118.83,0.05,451.55
S000293,INV00121,P018,2024-09-26,3,588.71,0.0,1766.13
S000294,INV00121,P006,2024-09-26,3,187.1,0.0,561.3
S000295,INV00122,P005,2024-08-29,3,66.59,0.15,169.8
S000296,INV00122,P008,2024-08-29,4,24.11,0.0,96.44
S000297,INV00123,P009,2025-08-03,5,555.19,0.05,2637.15
S000298,INV00123,P015,2025-08-03,1,151.86,0.0,151.86
S000299,INV00123,P020,2025-08-03,3,501.47,0.05,1429.19
S000300,INV00124,P011,2025-09-01,5,292.74,0.05,1390.51
S000301,INV00124,P013,2025-09-01,5,499.96,0.0,2499.8
S000302,INV00124,P019,2025-09-01,1,298.11,0.0,298.11
S000303,INV00124,P012,2025-09-01,3,490.89,0.1,1325.4
S000304,INV00125,P007,2024-05-17,3,118.83,0.15,303.02
S000305,INV00125,P014,2024-05-17,4,365.65,0.1,1316.34
S000306,INV00125,P005,2024-05-17,1,66.59,0.0,66.59
S000307,INV00126,P002,2025-05-22,4,348.25,0.1,1253.7
S000308,INV00127,P010,2025-11-24,2,358.33,0.05,680.83
S000309,INV00128,P013,2024-08-02,1,499.96,0.0,499.96
S000310,INV00128,P018,2024-08-02,2,588.71,0.0,1177.42
S000311,INV00128,P021,2024-08-02,1,285.53,0.1,256.98
S000312,INV00129,P017,2025-07-12,1,680.26,0.05,646.25
S000313,INV00129,P018,2025-07-12,4,588.71,0.0,2354.84
S000314,INV00129,P001,2025-07-12,2,564.89,0.0,1129.78
S000315,INV00130,P003,2024-03-30,3,508.77,0.05,1449.99
S000316,INV00131,P015,2025-08-27,5,151.86,0.0,759.3
S000317,INV00131,P002,2025-08-27,3,348.25,0.05,992.51
S000318,INV00131,P009,2025-08-27,4,555.19,0.0,2220.76
S000319,INV00132,P001,2024-01-06,5,564.89,0.0,2824.45
S000320,INV00132,P002,2024-01-06,1,348.25,0.0,348.25
S000321,INV00132,P021,2024-01-06,1,285.53,0.15,242.7
S000322,INV00133,P011,2024-11-07,3,292.74,0.15,746.49
S000323,INV00133,P009,2024-11-07,5,555.19,0.0,2775.95
S000324,INV00133,P001,2024-11-07,2,564.89,0.05,1073.29
S000325,INV00133,P019,2024-11-07,1,298.11,0.15,253.39
S000326,INV00134,P011,2024-02-14,3,292.74,0.05,834.31
S000327,INV00134,P007,2024-02-14,2,118.83,0.1,213.89
S000328,INV00135,P013,2024-04-19,3,499.96,0.0,1499.88
S000329,INV00136,P003,2025-02-21,1,508.77,0.0,508.77
S000330,INV00137,P003,2025-07-11,5,508.77,0.05,2416.66
S000331,INV00137,P015,2025-07-11,2,151.86,0.1,273.35
S000332,INV00138,P008,2025-12-10,1,24.11,0.0,24.11
S000333,INV00138,P004,2025-12-10,3,296.13,0.1,799.55
S000334,INV00139,P006,2025-10-14,3,187.1,0.05,533.23
S000335,INV00140,P004,2025-10-26,1,296.13,0.0,296.13
S000336,INV00140,P009,2025-10-26,2,555.19,0.15,943.82
S000337,INV00140,P008,2025-10-26,3,24.11,0.0,72.33
S000338,INV00140,P012,2025-10-26,1,490.89,0.15,417.26
S000339,INV00141,P019,2025-07-13,5,298.11,0.1,1341.5
S000340,INV00142,P018,2024-02-13,4,588.71,0.0,2354.84
S000341,INV00142,P013,2024-02-13,5,499.96,0.0,2499.8
S000342,INV00142,P017,2024-02-13,3,680.26,0.0,2040.78
S000343,INV00142,P014,2024-02-13,4,365.65,0.05,1389.47
S000344,INV00143,P011,2025-01-29,4,292.74,0.05,1112.41
S000345,INV00143,P021,2025-01-29,2,285.53,0.1,513.95
S000346,INV00143,P001,2025-01-29,4,564.89,0.1,2033.6
S000347,INV00143,P002,2025-01-29,1,348.25,0.1,313.43
S000348,INV00144,P003,2025-07-22,2,508.77,0.15,864.91
S000349,INV00145,P016,2025-03-08,5,135.67,0.15,576.6
S000350,INV00146,P008,2025-09-04,1,24.11,0.1,21.7
S000351,INV00146,P001,2025-09-04,1,564.89,0.0,564.89
S000352,INV00146,P011,2025-09-04,1,292.74,0.0,292.74
S000353,INV00146,P014,2025-09-04,2,365.65,0.15,621.6
S000354,INV00147,P018,2024-03-18,5,588.71,0.0,2943.55
S000355,INV00148,P004,2025-10-20,5,296.13,0.1,1332.59
S000356,INV00148,P008,2025-10-20,3,24.11,0.15,61.48
S000357,INV00148,P020,2025-10-20,3,501.47,0.1,1353.97
S000358,INV00148,P002,2025-10-20,2,348.25,0.1,626.85
S000359,INV00149,P016,2025-05-14,5,135.67,0.0,678.35
S000360,INV00149,P017,2025-05-14,3,680.26,0.15,1734.66
S000361,INV00150,P017,2025-07-24,1,680.26,0.0,680.26
S000362,INV00150,P015,2025-07-24,1,151.86,0.1,136.67
S000363,INV00150,P010,2025-07-24,2,358.33,0.0,716.66
S000364,INV00151,P004,2025-02-05,5,296.13,0.0,1480.65
S000365,INV00151,P009,2025-02-05,4,555.19,0.1,1998.68
S000366,INV00152,P014,2025-03-26,5,365.65,0.15,1554.01
S000367,INV00152,P012,2025-03-26,3,490.89,0.0,1472.67
S000368,INV00152,P010,2025-03-26,4,358.33,0.0,1433.32
S000369,INV00153,P006,2025-01-05,5,187.1,0.0,935.5
S000370,INV00153,P017,2025-01-05,1,680.26,0.15,578.22
S000371,INV00153,P007,2025-01-05,3,118.83,0.0,356.49
S000372,INV00154,P007,2024-03-20,4,118.83,0.15,404.02
S000373,INV00154,P020,2024-03-20,1,501.47,0.0,501.47
S000374,INV00154,P015,2024-03-20,2,151.86,0.0,303.72
S000375,INV00155,P011,2025-05-10,4,292.74,0.1,1053.86
S000376,INV00156,P001,2024-02-28,5,564.89,0.0,2824.45
S000377,INV00156,P007,2024-02-28,3,118.83,0.0,356.49
S000378,INV00156,P012,2024-02-28,4,490.89,0.0,1963.56
S000379,INV00156,P014,2024-02-28,4,365.65,0.15,1243.21
S000380,INV00157,P013,2024-02-26,5,499.96,0.0,2499.8
S000381,INV00157,P001,2024-02-26,2,564.89,0.0,1129.78
S000382,INV00158,P018,2025-07-24,5,588.71,0.05,2796.37
S000383,INV00158,P003,2025-07-24,1,508.77,0.0,508.77
S000384,INV00158,P017,2025-07-24,3,680.26,0.15,1734.66
S000385,INV00159,P020,2025-11-19,1,501.47,0.0,501.47
S000386,INV00159,P013,2025-11-19,3,499.96,0.1,1349.89
S000387,INV00159,P010,2025-11-19,5,358.33,0.0,1791.65
S000388,INV00159,P015,2025-11-19,4,151.86,0.1,546.7
S000389,INV00160,P005,2024-04-08,5,66.59,0.05,316.3
S000390,INV00160,P006,2024-04-08,5,187.1,0.15,795.17
S000391,INV00161,P009,2025-11-12,4,555.19,0.05,2109.72
S000392,INV00162,P017,2025-03-06,4,680.26,0.1,2448.94
S000393,INV00162,P019,2025-03-06,3,298.11,0.0,894.33
S000394,INV00163,P014,2025-08-24,2,365.65,0.15,621.6
S000395,INV00163,P017,2025-08-24,2,680.26,0.0,1360.52
S000396,INV00163,P016,2025-08-24,5,135.67,0.15,576.6
S000397,INV00164,P018,2024-02-19,3,588.71,0.15,1501.21
S000398,INV00164,P004,2024-02-19,5,296.13,0.0,1480.65
S000399,INV00164,P005,2024-02-19,2,66.59,0.05,126.52
S000400,INV00164,P008,2024-02-19,3,24.11,0.05,68.71
S000401,INV00165,P005,2024-10-16,2,66.59,0.15,113.2
S000402,INV00165,P011,2024-10-16,4,292.74,0.0,1170.96
S000403,INV00165,P004,2024-10-16,4,296.13,0.05,1125.29
S000404,INV00166,P013,2024-12-29,3,499.96,0.0,1499.88
S000405,INV00166,P007,2024-12-29,3,118.83,0.1,320.84
S000406,INV00167,P004,2025-08-08,4,296.13,0.0,1184.52
S000407,INV00167,P002,2025-08-08,4,348.25,0.1,1253.7
S000408,INV00168,P008,2024-05-01,5,24.11,0.0,120.55
S000409,INV00168,P019,2024-05-01,1,298.11,0.15,253.39
S000410,INV00168,P002,2024-05-01,5,348.25,0.05,1654.19
S000411,INV00168,P007,2024-05-01,1,118.83,0.15,101.01
S000412,INV00169,P014,2024-10-10,2,365.65,0.0,731.3
S000413,INV00169,P010,2024-10-10,2,358.33,0.0,716.66
S000414,INV00169,P001,2024-10-10,3,564.89,0.1,1525.2
S000415,INV00170,P018,2024-08-07,1,588.71,0.0,588.71
S000416,INV00171,P012,2025-12-25,5,490.89,0.15,2086.28
